workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,cheese,masculine,food,3,bad,square,quality,0.45,shape
0,cheese,masculine,food,4,purple,rotten,color,0.44,age
0,carrot,feminine,food,5,big,fresh,size,0.45,age
0,chair,masculine,furniture,6,yellow,square,color,0.31,shape
0,fan,feminine,furniture,7,hard,new,texture,0.35,age
0,TV,masculine,furniture,8,brown,old,color,0.48,age
0,chair,masculine,furniture,9,big,round,size,0.63,shape
0,TV,masculine,furniture,10,square,big,shape,0.25,size
0,apple,feminine,food,11,huge,wooden,size,0.61,material
0,cheese,masculine,food,12,old,green,age,0.33,color
0,couch,feminine,furniture,13,new,round,age,0.48,shape
0,fan,feminine,furniture,14,small,old,size,0.35,age
0,chair,masculine,furniture,15,metal,new,material,0.33,age
0,TV,masculine,furniture,16,fresh,brown,age,0.42,color
0,chair,masculine,furniture,17,plastic,short,material,0.45,size
0,carrot,feminine,food,18,long,old,size,0.4,age
0,cheese,masculine,food,19,smooth,small,texture,0.36,size
0,tomato,feminine,food,20,blue,soft,color,0.48,texture
0,banana,feminine,food,21,rotten,square,age,0.39,shape
0,fan,feminine,furniture,22,huge,old,size,0.4,age
0,chair,masculine,furniture,23,yellow,big,color,0.45,size
0,carrot,feminine,food,24,yellow,smooth,color,0.75,texture
0,apple,feminine,food,25,good,brown,quality,0.39,color
0,cheese,masculine,food,26,red,rotten,color,0.39,age
0,cheese,masculine,food,27,good,plastic,quality,0.35,material
0,tomato,feminine,food,28,soft,wooden,texture,0.35,material
1,banana,feminine,food,3,small,wooden,size,0.03,material
1,apple,feminine,food,4,blue,rotten,color,0.02,age
1,chair,masculine,furniture,5,big,yellow,size,0.99,color
1,chair,masculine,furniture,6,plastic,rotten,material,0.05,age
1,banana,feminine,food,7,long,rotten,size,0.02,age
1,couch,feminine,furniture,8,short,round,size,1,shape
1,banana,feminine,food,9,smooth,huge,texture,0.02,size
1,fan,feminine,furniture,10,green,new,color,0.03,age
1,chair,masculine,furniture,11,wooden,yellow,material,0.01,color
1,carrot,feminine,food,12,square,short,shape,0.98,size
1,apple,feminine,food,13,green,bad,color,0.02,quality
1,carrot,feminine,food,14,green,old,color,0.04,age
1,fan,feminine,furniture,15,square,long,shape,0.98,size
1,chair,masculine,furniture,16,new,square,age,0.02,shape
1,fan,feminine,furniture,17,new,round,age,0.97,shape
1,tomato,feminine,food,18,smooth,short,texture,0.04,size
1,TV,masculine,furniture,19,hard,huge,texture,0.98,size
1,couch,feminine,furniture,20,big,brown,size,0.96,color
1,couch,feminine,furniture,21,hard,purple,texture,0.04,color
1,carrot,feminine,food,22,fresh,yellow,age,0.02,color
1,cheese,masculine,food,23,plastic,red,material,0.02,color
1,TV,masculine,furniture,24,green,fresh,color,0.99,age
1,carrot,feminine,food,25,bad,wooden,quality,0.98,material
1,TV,masculine,furniture,26,blue,plastic,color,0.04,material
1,carrot,feminine,food,27,bad,long,quality,0.01,size
1,desk,masculine,furniture,28,soft,blue,texture,0.02,color
2,cheese,masculine,food,3,fresh,plastic,age,0.5,material
2,fan,feminine,furniture,4,soft,plastic,texture,0.68,material
2,chair,masculine,furniture,5,bad,square,quality,0.48,shape
2,TV,masculine,furniture,6,smooth,good,texture,0.73,quality
2,banana,feminine,food,7,big,red,size,0.54,color
2,fan,feminine,furniture,8,soft,huge,texture,0.4,size
2,tomato,feminine,food,9,square,blue,shape,0.77,color
2,banana,feminine,food,10,hard,good,texture,0.54,quality
2,couch,feminine,furniture,11,smooth,wooden,texture,0.66,material
2,desk,masculine,furniture,12,huge,soft,size,0.44,texture
2,fan,feminine,furniture,13,small,bad,size,0.63,quality
2,desk,masculine,furniture,14,brown,big,color,0.42,size
2,TV,masculine,furniture,15,green,rotten,color,0.66,age
2,carrot,feminine,food,16,yellow,good,color,0.52,quality
2,couch,feminine,furniture,17,good,big,quality,0.78,size
2,apple,feminine,food,18,long,wooden,size,0.54,material
2,chair,masculine,furniture,19,plastic,good,material,0.37,quality
2,carrot,feminine,food,20,bad,square,quality,0.66,shape
2,fan,feminine,furniture,21,huge,yellow,size,0.49,color
2,fan,feminine,furniture,22,soft,big,texture,0.69,size
2,fan,feminine,furniture,23,square,plastic,shape,0.53,material
2,TV,masculine,furniture,24,good,short,quality,0.37,size
